order_id,order_datetime,customer_id,category,product,unit_price,quantity,country,payment_method,is_refunded
ORD-100918,2024-02-11,CUST-00590,Sports,Resistance Bands,108.03,2,SG,card,false
ORD-144181,2025-12-08,CUST-08932,Books,Data Science Handbook,15.1,1,NZ,card,false
ORD-109413,2024-04-26,CUST-08371,Fashion,Denim Jacket,83.05,4,AU,bank_transfer,false
ORD-144814,16 Feb 2025,CUST-06529,Sports,Yoga Mat,64.74,1,AU,card,false
ORD-104296,2025-03-25,CUST-05686,Grocery,Dark Chocolate,21.11,1,SG,paypal,false
ORD-119172,25/06/2025,CUST-08240,Sports,Water Bottle,45.59,1,NZ,bank_transfer,false
ORD-122171,09 Nov 2024,CUST-03981,Toys,Plush Bear,23.57,3,AU,card,false
ORD-136895,2025-03-13,CUST-11528,Electronics,4K Webcam,182.65,1,SG,card,false
ORD-102841,2025-10-17,CUST-08301,Beauty,Lip Balm,32.4,1,IN,bank_transfer,false
ORD-121751,17/12/2024,CUST-06863,Home & Kitchen,Knife Set,101.77,1,CA,bank_transfer,false
ORD-112081,2025-11-14,CUST-01347,Electronics,USB-C Charger,93.31,1,NZ,apple_pay,false
ORD-100914,2025-10-21,CUST-09268,Sports,Dumbbell Set,50.3,2,CA,bank_transfer,false
ORD-115856,2025-03-31,CUST-11918,Beauty,Vitamin C Serum,17.22,5,NZ,apple_pay,false
ORD-104538,2024-06-02,CUST-00320,Home & Kitchen,Coffee Grinder,166.62,2,IN,paypal,false
ORD-138255,2024-01-22,CUST-09434,Sports,Resistance Bands,109.01,1,IN,apple_pay,false
ORD-120378,2024-09-06,CUST-09769,Grocery,Green Tea,19.91,1,SG,apple_pay,false
ORD-131697,2025-05-30,CUST-04833,Fashion,Wool Socks,92.26,1,US,paypal,false
ORD-100816,17/12/2025,CUST-05144,Fashion,Leather Belt,19.68,1,DE,apple_pay,false
ORD-103020,2024-11-15,CUST-02777,Fashion,Denim Jacket,103.99,1,NZ,apple_pay,false
